id,category,ja_name,en_name,render,price,default_unlocked,tags,concept,art_prompt
sciencelab,school,かがくラボ,Science Lab,image,190,false,school;science;lab;learning;tone:cute-flat,かがくラボ。フラスコは両側、中央の床は開ける,"Soft flat children's illustration of a friendly science laboratory, shelves of colorful bubbling beakers and flasks along the sides, charts and a periodic-style poster (no readable text) on the wall, a clean lab floor open in the lower center for a character, bright and safe-looking, no people in the middle, no text or logos, 4:3 landscape"
planetarium,space,プラネタリウム,Planetarium,image,240,false,space;stars;dome;science;night;tone:semi-real-cinematic,プラネタリウムのドーム。満天の星、中央床は静か,"Photoreal cinematic render of the inside of a planetarium dome, a vast projected starry sky, glowing constellations and a soft milky-way band across the dome above, a softly glowing horizon line, the lower-center floor kept calm and mid-bright (not pitch black) and uncluttered for a character, no text or logos, 4:3 landscape"
ninjavillage,japan,にんじゃのさと,Ninja Village,image,190,false,japan;ninja;village;dusk;tone:cute-flat,夕暮れの忍者の里。家や塔は脇、中央の道は開ける,"Soft flat children's illustration of a cute Japanese ninja village at dusk, rounded wooden houses with tiled rooftops and a small pagoda on the sides, paper lanterns and distant mountains, a warm orange sky, an open dirt path in the lower center for a character, friendly and adventurous, no people in the middle, no text or logos, 4:3 landscape"
robotlab,tech,ロボットこうぼう,Robot Workshop,image,230,false,tech;robot;workshop;maker;tone:semi-real-cinematic,ロボット工房。ロボや機械は脇、中央は開ける,"Photoreal cinematic 3D render of a high-tech robotics workshop and maker space, friendly robots, mechanical arms and glowing monitor screens toward the sides, tools and parts on workbenches, cool blue-and-orange lighting, the center floor kept open, clear and mid-bright for a character, no text or logos, 4:3 landscape"
artatelier,creative,おえかきアトリエ,Art Atelier,image,180,false,creative;art;studio;drawing;tone:cute-flat,お絵かきアトリエ。イーゼルは脇、中央の床は開ける,"Soft flat children's illustration of a cozy art atelier studio, easels with canvases, jars of brushes and tubes of paint along the sides, a big window with soft daylight, plants, an open wooden floor in the lower center for a character, warm and inviting, no people in the middle, no text or logos, 4:3 landscape"
musicstudio,music,おんがくスタジオ,Music Studio,image,240,false,music;studio;recording;tone:semi-real-cinematic,音楽スタジオ。ブースや卓は脇、中央は開ける,"Photoreal cinematic 3D render of a professional music recording studio, a glass vocal booth, a mixing console and studio microphones with warm amber lighting toward the sides, acoustic panels on the walls, the center kept open and mid-lit for a character, no text or logos, 4:3 landscape"
neoncafe,city,ネオンカフェ,Neon Cafe,image,260,false,city;cafe;neon;night;tone:semi-real-cinematic,夜のネオンカフェ。看板は脇、中央は開ける,"Photoreal cinematic render of a stylish neon-lit cafe at night, glowing neon signs (no readable text), a counter, bar stools and leafy plants along the sides, a reflective floor, moody pink-and-teal lighting, the center kept open and mid-bright for a character, no text or logos, 4:3 landscape"
arcade,city,ゲームセンター,Arcade,image,260,false,city;arcade;games;neon;night;tone:semi-real-cinematic,夜のゲームセンター。筐体は両側、中央の通路は開ける,"Photoreal cinematic render of a vibrant Japanese game arcade at night, rows of glowing arcade cabinets, claw machines and neon lights along the left and right, colorful reflections on the floor, an open walkway down the center kept clear and mid-bright for a character, no readable text or logos, 4:3 landscape"
beachresort,travel,ビーチリゾート,Beach Resort,image,260,false,travel;beach;tropical;resort;tone:semi-real-cinematic,夕方のビーチリゾート。ヤシや海は脇、中央の砂浜は開ける,"Photoreal cinematic render of a tropical beach resort at golden hour, palm trees, beach umbrellas and a turquoise sea toward the sides, gentle waves and a warm glowing sky, an open stretch of soft sand in the lower center kept clear for a character, no text or logos, 4:3 landscape"
skilodge,travel,スキーじょう,Ski Resort,image,250,false,travel;snow;ski;winter;mountain;tone:semi-real-cinematic,スキー場のゲレンデ。ロッジは脇、中央の雪面は開ける,"Photoreal cinematic render of a sunny ski resort slope, a cozy wooden lodge to one side, snow-covered pine trees and a chairlift on the edges, bright blue sky and sparkling snow, an open snowy foreground in the lower center kept clear for a character, no text or logos, 4:3 landscape"
summerfes,event,なつまつり,Summer Festival,image,200,false,event;festival;japan;summer;night;tone:cute-flat,夕暮れの夏祭り。屋台と提灯は両側、中央の参道は開ける,"Soft flat children's illustration of a Japanese summer festival at dusk, rows of food stalls (yatai) with red paper lanterns glowing on the left and right, a warm twilight sky, an open festival path in the lower center for a character, cozy and cheerful, no people in the middle, no text or logos, 4:3 landscape"
fireworks,event,はなびたいかい,Fireworks,image,240,false,event;fireworks;japan;summer;night;tone:semi-real-cinematic,夜の花火大会。花火は上空、中央は静かなグロー,"Photoreal cinematic render of a summer fireworks festival at night over a river, big colorful fireworks bursting across the upper sky, soft silhouettes of festival stalls and a bridge low on the sides, the center kept calmer with a gentle warm glow (not too dark) for a character, no text or logos, 4:3 landscape"
xmasmarket,event,クリスマスマーケット,Christmas Market,image,240,false,event;christmas;market;winter;night;tone:semi-real-cinematic,夕方のクリスマスマーケット。屋台は脇、中央の広場は開ける,"Photoreal cinematic render of a cozy European Christmas market in the evening, wooden stalls with warm string lights and a tall decorated tree toward the sides, gentle falling snow, a glowing festive atmosphere, an open square in the center kept clear and mid-bright for a character, no readable text or logos, 4:3 landscape"
halloween,event,ハロウィンのよる,Halloween Night,image,200,false,event;halloween;autumn;night;tone:cute-flat,ハロウィンの夜(怖くない)。かぼちゃは脇、中央の道は開ける,"Soft flat children's illustration of a friendly (not scary) Halloween night, cute smiling jack-o-lanterns, a little decorated house and a few round bats on the sides, a friendly purple twilight sky with a big round moon, an open path in the lower center for a character, playful and cozy, no people in the middle, no text or logos, 4:3 landscape"
shrine,japan,おしょうがつ,New Year Shrine,image,190,false,event;newyear;japan;shrine;winter;tone:cute-flat,お正月の神社。鳥居は脇、中央の参道は開ける,"Soft flat children's illustration of a Japanese New Year shrine scene, a big red torii gate to one side, a shrine building, hanging lanterns and a few pink-and-white New Year decorations, a calm pale winter daytime sky, an open stone approach path (sando) in the lower center for a character, bright and festive, no people in the middle, no text or logos, 4:3 landscape"
voxelforest,fantasy,ボクセルのもり,Voxel Forest,image,200,false,fantasy;voxel;forest;nature;game;tone:voxel,ボクセルの森。ブロックの木や茂みは脇、中央は平らな草ブロック広場,"Voxel art landscape, Minecraft-like blocky cubes, a lush cube forest with blocky trees, bushes and a small blocky pond on the sides, bright blue sky with cube clouds, a flat open grass-block plaza in the lower center for a character, vibrant primary colors, no text or logos, 4:3 landscape"
voxeldesert,fantasy,ボクセルのさばく,Voxel Desert,image,200,false,fantasy;voxel;desert;nature;game;tone:voxel,ボクセルの砂漠。ブロックのピラミッドやサボテンは脇、中央は平らな砂ブロック,"Voxel art landscape, Minecraft-like blocky cubes, a sandy cube desert with a blocky pyramid, cacti and dunes on the sides, warm sunny sky with cube clouds, a flat open sand-block area in the lower center for a character, vibrant colors, no text or logos, 4:3 landscape"
voxelocean,fantasy,ボクセルのうみ,Voxel Ocean,image,200,false,fantasy;voxel;ocean;sea;nature;game;tone:voxel,ボクセルの海と浜。ブロックの水やヤシは脇、中央は平らな砂ブロックの浜,"Voxel art landscape, Minecraft-like blocky cubes, a bright cube ocean and beach, blocky turquoise water, palm trees and a little island on the sides, sunny sky with cube clouds, a flat open sand-block shore in the lower center for a character, vibrant colors, no text or logos, 4:3 landscape"
voxelsnow,fantasy,ボクセルのゆきはら,Voxel Snowland,image,200,false,fantasy;voxel;snow;winter;nature;game;tone:voxel,ボクセルの雪原。ブロックの雪の木やかまくらは脇、中央は平らな雪ブロック,"Voxel art landscape, Minecraft-like blocky cubes, a snowy cube tundra with blocky snow-covered pine trees and an igloo on the sides, pale blue winter sky with cube clouds, a flat open snow-block area in the lower center for a character, vibrant cool colors, no text or logos, 4:3 landscape"
voxelvolcano,fantasy,ボクセルのかざん,Voxel Volcano,image,210,false,fantasy;voxel;volcano;lava;nature;game;tone:voxel,ボクセルの火山。光る溶岩や岩は脇、中央は平らな石ブロック(明るめ),"Voxel art landscape, Minecraft-like blocky cubes, a blocky volcano with glowing orange lava streams and dark rock on the sides, dramatic sky, a flat open stone-block area in the lower center kept mid-bright for a character (not too dark), vibrant colors, no text or logos, 4:3 landscape"
voxelsky,fantasy,ボクセルのそらじま,Voxel Sky Islands,image,210,false,fantasy;voxel;sky;island;fantasy;game;tone:voxel,ボクセルの空島。浮いたブロックの島や滝は脇、中央は平らな草ブロックの足場,"Voxel art landscape, Minecraft-like blocky cubes, floating cube sky islands with blocky waterfalls and trees on the sides, bright blue sky with cube clouds, a flat open grass-block floating platform in the lower center for a character, vibrant colors, no text or logos, 4:3 landscape"
voxelplains,fantasy,ボクセルのそうげん,Voxel Plains,image,200,false,fantasy;voxel;plains;nature;game;ground-level;tone:voxel,地上目線のボクセル草原。木や丘は脇/遠景、手前中央は平らな草ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint with the horizon at eye level (NOT a bird's-eye or aerial shot), standing in grassy cube plains with blocky trees and gentle hills on the sides and in the distance, bright blue sky with cube clouds, a flat open grass-block clearing in the immediate foreground center for a character, vibrant primary colors, no text or logos, 4:3 landscape"
voxelvillage,fantasy,ボクセルのむら,Voxel Village,image,210,false,fantasy;voxel;village;town;game;ground-level;tone:voxel,地上目線のボクセル村の通り。家は両側、手前中央は平らな道ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), standing on a voxel village street, blocky wooden houses with lanterns and market stalls on the left and right, a blocky path leading ahead, bright sky with cube clouds, a flat open path-block area in the immediate foreground center for a character, vibrant colors, no text or logos, 4:3 landscape"
voxeljungle,fantasy,ボクセルのジャングル,Voxel Jungle,image,210,false,fantasy;voxel;jungle;nature;game;ground-level;tone:voxel,地上目線のボクセルジャングル。木やツタは脇、手前中央は平らな土ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), standing in a dense voxel jungle clearing, tall blocky trees, vines and ferns on the sides, soft shafts of light, a flat open dirt-block clearing in the immediate foreground center for a character, vibrant greens, no text or logos, 4:3 landscape"
voxelcave,fantasy,ボクセルのどうくつ,Voxel Cave,image,210,false,fantasy;voxel;cave;underground;game;ground-level;tone:voxel,地上目線のボクセル洞窟。岩壁や光る鉱石は脇(中央は明るめ)、手前は平らな石ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), standing inside a voxel cave, blocky stone walls, glowing crystals and a warm torch on the sides giving light (keep the center mid-bright, NOT dark), a flat open stone-block floor in the immediate foreground center for a character, vibrant colors, no text or logos, 4:3 landscape"
voxelmountain,fantasy,ボクセルのやま,Voxel Mountain Trail,image,210,false,fantasy;voxel;mountain;nature;game;ground-level;tone:voxel,地上目線のボクセル山道。岩や雪の峰は前方/脇、手前中央は平らな道ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a voxel mountain trail, blocky rocky and snow-capped peaks rising ahead and on the sides, blocky pine trees, bright sky with cube clouds, a flat EMPTY open path-block area in the immediate foreground center (do NOT draw any person, character, avatar or figure there — leave the center completely empty), vibrant colors, no text or logos, 4:3 landscape"
voxelwaterfall,fantasy,ボクセルのたき,Voxel Waterfall,image,210,false,fantasy;voxel;waterfall;river;nature;game;ground-level;tone:voxel,地上目線のボクセルの滝。崖と落ちる水は脇、手前中央は平らな草ブロックの岸,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a voxel waterfall and river, blocky cliffs with cascading cube water on the sides, lush green blocks and soft mist, a flat EMPTY open grass-block bank in the immediate foreground center (do NOT draw any person, character, avatar or figure there — leave the center completely empty), vibrant colors, no text or logos, 4:3 landscape"
voxellava,fantasy,ボクセルのようがん,Voxel Lava Field,image,220,false,fantasy;voxel;volcano;lava;dramatic;game;ground-level;tone:voxel,地上目線のダイナミックな溶岩地帯。噴火する火山が前方、溶岩川は脇、手前中央は無人の石ブロック(明るめ),"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a dramatic volcanic lava field, a huge erupting blocky volcano ahead spewing embers, glowing orange lava rivers and dark basalt cubes on the sides, dramatic smoky orange sky, a flat EMPTY open obsidian-stone-block area in the immediate foreground center kept mid-bright (do NOT draw any person, character or figure — leave the center empty), vibrant glowing colors, no text or logos, 4:3 landscape"
voxelcanyon,fantasy,ボクセルのだいきょうこく,Voxel Canyon,image,215,false,fantasy;voxel;canyon;dramatic;nature;game;ground-level;tone:voxel,地上目線の大峡谷。そびえる段々の崖が両側、川は下、手前中央は無人の岩ブロック棚,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a deep dramatic blocky canyon gorge, towering layered cube cliff walls rising on both sides, a river far below, a vast sense of scale, bright sky with cube clouds, a flat EMPTY open rock-block ledge in the immediate foreground center (do NOT draw any person, character or figure — leave the center empty), vibrant colors, no text or logos, 4:3 landscape"
voxelmesa,fantasy,ボクセルのあかいわ,Voxel Mesa,image,215,false,fantasy;voxel;mesa;desert;dramatic;game;ground-level;tone:voxel,地上目線の赤い岩のメサ。段々の赤橙の崖が前方/脇、手前中央は無人の砂ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a dramatic red-rock badlands mesa, tall layered orange-and-red blocky cliffs and buttes on the sides and ahead, dry shrubs, warm dramatic sky, a flat EMPTY open sand-block area in the immediate foreground center (do NOT draw any person, character or figure — leave the center empty), vibrant warm colors, no text or logos, 4:3 landscape"
voxelglacier,fantasy,ボクセルのひょうが,Voxel Glacier,image,215,false,fantasy;voxel;glacier;ice;dramatic;game;ground-level;tone:voxel,地上目線の氷河。ひび割れた巨大な氷ブロックの崖が脇、冷たい霧、手前中央は無人の氷ブロック,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a dramatic blue glacier, towering cracked ice-block cliffs and frozen seracs on the sides, cold drifting mist, pale icy sky, a flat EMPTY open ice-block area in the immediate foreground center (do NOT draw any person, character or figure — leave the center empty), vibrant cool blues, no text or logos, 4:3 landscape"
voxelmushroom,fantasy,ボクセルのキノコもり,Voxel Mushroom Forest,image,220,false,fantasy;voxel;mushroom;fantasy;glow;game;ground-level;tone:voxel,地上目線の光るキノコの森。巨大な光るキノコが脇、幻想的、手前中央は無人の菌糸ブロック(明るめ),"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a surreal glowing voxel mushroom forest, giant blocky mushrooms with glowing caps and floating spores in pink, purple and teal on the sides, magical fantasy mood, a flat EMPTY open mycelium-block clearing in the immediate foreground center kept mid-bright (do NOT draw any person, character or figure — leave the center empty), vibrant glowing colors, no text or logos, 4:3 landscape"
voxelstorm,fantasy,ボクセルのあらし,Voxel Storm Cliffs,image,220,false,fantasy;voxel;storm;sea;dramatic;game;ground-level;tone:voxel,地上目線の嵐の崖。遠くに稲妻、荒れる波と崖は脇、手前中央は無人の石ブロック(明るめ),"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint (NOT aerial), a dramatic stormy clifftop, dark blocky storm clouds and distant lightning, windswept blocky cliffs and crashing cube waves on the sides, moody atmosphere but the center kept mid-bright, a flat EMPTY open stone-block area in the immediate foreground center (do NOT draw any person, character or figure — leave the center empty), dramatic colors, no text or logos, 4:3 landscape"
dinovalley,fantasy,きょうりゅうのたに,Dinosaur Valley,image,200,false,fantasy;dinosaur;nature;tone:cute-flat,恐竜の谷。優しい恐竜は奥、中央の草地は空ける,"Soft flat children's illustration of a sunny prehistoric valley, friendly cartoon dinosaurs (a long-neck and a stegosaurus) grazing far in the background near distant gentle volcanoes and giant ferns on the sides, a calm river, a flat EMPTY open grassy clearing in the foreground center left completely empty (do NOT draw any person, character or figure), bright cheerful colors, soft rounded shapes, no text or logos, 4:3 landscape"
tanabata,season,たなばた,Tanabata Festival,image,180,false,season;japan;festival;night;tone:cute-flat,七夕の夜。笹飾りは脇、天の川は上、中央は空ける,"Soft flat children's illustration of a Tanabata night festival, big bamboo branches decorated with colorful paper strips on the left and right, a glowing Milky Way and stars across the upper sky, paper lanterns near the edges, a flat EMPTY open ground area in the lower center left empty (do NOT draw any person or character), gentle indigo and warm pastel colors, soft rounded shapes, no text or logos, 4:3 landscape"
koinobori,season,こどものひ,Children's Day,image,180,false,season;japan;spring;tone:cute-flat,こどもの日。鯉のぼりは脇、中央の草地は空ける,"Soft flat children's illustration of a bright spring Children's Day scene, colorful carp streamers flying on poles to the sides against a clear blue sky, fresh green hills and a few iris flowers near the edges, a flat EMPTY open grassy area in the foreground center kept empty (do NOT draw any person or character), cheerful pastel colors, soft rounded shapes, no text or logos, 4:3 landscape"
hinamatsuri,season,ひなまつり,Hinamatsuri,image,180,false,season;japan;indoor;tone:cute-flat,ひな祭りの部屋。雛壇は右、中央の床は空ける,"Soft flat children's illustration of a cozy Hinamatsuri room, a tiered doll display with peach blossoms to the right side, paper screens and hanging mobiles on the left, warm tatami floor, a flat EMPTY open floor area in the lower center kept empty (do NOT draw any person or character besides the small dolls on the side shelf), soft pink and cream pastel colors, rounded shapes, no text or logos, 4:3 landscape"
construction,vehicle,こうじげんば,Construction Site,image,200,false,vehicle;work;machine;tone:cute-flat,工事現場。重機は脇、中央の地面は空ける,"Soft flat children's illustration of a cheerful construction site, cartoon excavator, crane and dump truck parked to the left and right, traffic cones and a half-built colorful building in the background, a flat EMPTY open dirt ground area in the foreground center kept empty (do NOT draw any person or character), bright friendly colors, soft rounded shapes, no text or logos, 4:3 landscape"
harbor,vehicle,みなと,Harbor,image,200,false,vehicle;sea;boat;outdoor;tone:cute-flat,港。船は脇、中央の桟橋は空ける,"Soft flat children's illustration of a sunny harbor port, colorful boats and a small ferry docked on the sides, seagulls, a lighthouse and crates near the edges, calm blue sea and sky, a flat EMPTY open pier deck area in the foreground center kept empty (do NOT draw any person or character), bright cheerful colors, soft rounded shapes, no text or logos, 4:3 landscape"
deepsea,nature,しんかい,Deep Sea,image,200,false,nature;sea;ocean;tone:cute-flat,深海。光るクラゲは脇、中央の砂底は空ける,"Soft flat children's illustration of a gentle deep-sea scene, friendly glowing jellyfish, a cute anglerfish and bioluminescent plants drifting to the sides, soft beams of light from above, bubbles, a flat EMPTY open sandy seabed area in the foreground center kept empty (do NOT draw any person or character), calm blue and teal with soft glows, rounded shapes, not scary, no text or logos, 4:3 landscape"
coralreef,nature,さんごしょう,Coral Reef,image,200,false,nature;sea;ocean;tropical;tone:cute-flat,サンゴ礁。サンゴと魚は脇、中央の砂地は空ける,"Soft flat children's illustration of a bright tropical coral reef, colorful corals, anemones and small tropical fish on the left and right, sun rays through clear turquoise water, a flat EMPTY open sandy patch in the foreground center kept empty (do NOT draw any person or character), vivid cheerful colors, soft rounded shapes, no text or logos, 4:3 landscape"
dragonpeak,fantasy,ドラゴンのやま,Dragon Peak,image,220,false,fantasy;dragon;mountain;tone:cute-flat,ドラゴンの山。竜は空奥、中央の高台は空ける,"Soft flat children's illustration of a fantasy mountain, a friendly cute cartoon dragon flying far in the sky to the upper right, jagged storybook peaks and floating crystals on the sides, soft clouds, a flat EMPTY open grassy plateau in the foreground center kept empty (do NOT draw any person or character on the ground), bright magical pastel colors, soft rounded shapes, no text or logos, 4:3 landscape"
cloudcastle,fantasy,くものおしろ,Cloud Castle,image,220,false,fantasy;castle;sky;tone:cute-flat,雲の上の城。塔は脇、中央の雲の足場は空ける,"Soft flat children's illustration of a dreamy castle floating on fluffy clouds, pastel turrets and rainbows to the sides, hot-air balloons and birds in the sky, a flat EMPTY open cloud platform in the foreground center kept empty (do NOT draw any person or character), soft pink blue and cream pastel colors, rounded shapes, no text or logos, 4:3 landscape"
pyramids,travel,ピラミッド,Pyramids of Egypt,image,240,false,travel;world;desert;tone:semi-real-cinematic,ギザのピラミッド。砂漠は脇、中央の砂地は空ける,"Photoreal cinematic 3D render of the Great Pyramids of Giza and the Sphinx at golden hour, vast desert dunes and a few palms toward the edges, dramatic warm sunlight and long shadows, a flat EMPTY open sand area in the foreground center kept empty and evenly lit (do NOT draw any person or character), rich warm colors, no text or logos, 4:3 landscape"
greatwall,travel,ばんりのちょうじょう,Great Wall,image,240,false,travel;world;mountain;tone:semi-real-cinematic,万里の長城。城壁は脇、中央の通路は空ける,"Photoreal cinematic 3D render of the Great Wall of China winding over green mountain ridges at sunrise, watchtowers along the sides, soft morning mist in the valleys, a flat EMPTY open stone walkway area in the foreground center kept empty and evenly lit (do NOT draw any person or character), vivid natural colors, no text or logos, 4:3 landscape"
aurora,nature,オーロラ,Aurora,image,240,false,nature;sky;winter;tone:semi-real-cinematic,オーロラ。雪原は脇、中央の雪面は空ける,"Photoreal cinematic 3D render of a northern aurora over a snowy arctic landscape, vivid green and violet auroral curtains across the upper sky, snow-covered pines and distant mountains on the sides, a frozen lake, a flat EMPTY open snow area in the foreground center kept empty and mid-bright (do NOT draw any person or character), dramatic sky but the center not dark, no text or logos, 4:3 landscape"
moonbase,space,つきのきち,Moon Base,image,260,false,space;scifi;future;tone:semi-real-cinematic,月面基地。ドームは脇、中央の月面は空ける,"Photoreal cinematic 3D render of a futuristic moon base, sleek habitat domes and a parked rover to the sides, Earth rising in the black starry sky, grey lunar craters, a flat EMPTY open lunar surface area in the foreground center kept empty and evenly lit (do NOT draw any person or astronaut), clean sci-fi colors, no text or logos, 4:3 landscape"
savanna,nature,サバンナ,Savanna,image,240,false,nature;animal;world;tone:semi-real-cinematic,サバンナ。動物は奥と脇、中央の草地は空ける,"Photoreal cinematic 3D render of an African savanna at golden hour, distant giraffes and elephants and acacia trees toward the edges and far background, warm grasslands stretching to the horizon, a flat EMPTY open grass area in the foreground center kept empty and evenly lit (do NOT draw any person or character; keep animals far on the sides), rich warm colors, no text or logos, 4:3 landscape"
nightsakura,season,よざくら,Night Sakura,image,240,false,season;japan;night;spring;tone:semi-real-cinematic,夜桜ライトアップ。桜並木は脇、中央の道は空ける,"Photoreal cinematic 3D render of an illuminated night cherry-blossom avenue, glowing sakura trees in full bloom arching along the left and right, warm lanterns and soft reflections on a path, a flat EMPTY open ground area in the foreground center kept empty and mid-bright (do NOT draw any person or character), dreamy pink and warm lights, the center not too dark, no text or logos, 4:3 landscape"
voxelcity,fantasy,ボクセルシティ,Voxel City,image,200,false,fantasy;voxel;city;game;tone:voxel,ボクセルの街。ビルは脇、中央のブロック広場は空ける,"Voxel art landscape, Minecraft-like blocky cubes, a colorful cube city with blocky skyscrapers, houses and streets on the left and right, blue sky with cube clouds, a flat open block plaza in the lower center kept completely empty (do NOT draw any person, character or figure), vibrant primary colors, no text or logos, 4:3 landscape"
voxelfarm,fantasy,ボクセルぼくじょう,Voxel Farm,image,200,false,fantasy;voxel;farm;game;tone:voxel,ボクセルの牧場。畑や小屋は脇、中央の草ブロック庭は空ける,"Voxel art landscape, Minecraft-like blocky cubes, a cheerful cube farm with blocky crop fields, a barn, hay bales and cube animals on the sides, blue sky with cube clouds, a flat open grass-block yard in the lower center kept completely empty (do NOT draw any person, character or figure), vibrant primary colors, no text or logos, 4:3 landscape"
voxelcastle,fantasy,ボクセルキャッスル,Voxel Castle,image,200,false,fantasy;voxel;castle;game;tone:voxel,ボクセルの城。塔や城壁は脇、中央の石ブロック中庭は空ける,"Voxel art landscape, Minecraft-like blocky cubes, EYE-LEVEL ground-level viewpoint with the horizon at eye level (NOT aerial or bird's-eye), a grand cube castle with blocky towers and banners standing in the BACKGROUND, blocky walls and trees framing the left and right sides, blue sky with cube clouds, a large flat open stone-block courtyard filling the foreground center kept completely empty (do NOT draw any person, character or figure), vibrant primary colors, no text or logos, 4:3 landscape"
